pillar_x,upperH,lowerY,bird_x,bird_y,action
516,635,781,200,464,glide
513,635,781,200,467,glide
510,635,781,200,470,glide
507,635,781,200,473,glide
504,635,781,200,476,glide
501,635,781,200,479,glide
498,635,781,200,482,glide
495,635,781,200,485,glide
492,635,781,200,488,glide
489,635,781,200,491,flap
486,635,781,200,488,flap
483,635,781,200,485,flap
480,635,781,200,482,flap
477,635,781,200,479,flap
474,635,781,200,476,flap
471,635,781,200,473,glide
468,635,781,200,476,glide
465,635,781,200,479,glide
462,635,781,200,482,glide
459,635,781,200,485,glide
456,635,781,200,488,glide
453,635,781,200,491,glide
450,635,781,200,494,glide
447,635,781,200,497,glide
444,635,781,200,500,glide
441,635,781,200,503,glide
438,635,781,200,506,glide
435,635,781,200,509,glide
432,635,781,200,512,flap
429,635,781,200,509,flap
426,635,781,200,506,flap
423,635,781,200,503,flap
420,635,781,200,500,glide
417,635,781,200,503,glide
414,635,781,200,506,glide
411,635,781,200,509,glide
408,635,781,200,512,glide
405,635,781,200,515,glide
402,635,781,200,518,glide
399,635,781,200,521,glide
396,635,781,200,524,glide
393,635,781,200,527,glide
390,635,781,200,530,glide
387,635,781,200,533,glide
384,635,781,200,536,glide
381,635,781,200,539,glide
378,635,781,200,542,glide
375,635,781,200,545,glide
372,635,781,200,548,glide
369,635,781,200,551,glide
366,635,781,200,554,glide
363,635,781,200,557,glide
360,635,781,200,560,glide
357,635,781,200,563,glide
354,635,781,200,566,glide
351,635,781,200,569,glide
348,635,781,200,572,glide
345,635,781,200,575,glide
342,635,781,200,578,glide
339,635,781,200,581,glide
336,635,781,200,584,glide
333,635,781,200,587,glide
330,635,781,200,590,glide
327,635,781,200,593,glide
324,635,781,200,596,glide
321,635,781,200,599,glide
318,635,781,200,602,glide
315,635,781,200,605,glide
312,635,781,200,608,glide
309,635,781,200,611,glide
306,635,781,200,614,glide
303,635,781,200,617,glide
300,635,781,200,620,glide
297,635,781,200,623,glide
294,635,781,200,626,glide
291,635,781,200,629,glide
288,635,781,200,632,glide
285,635,781,200,635,glide
282,635,781,200,638,glide
279,635,781,200,641,glide
276,635,781,200,644,glide
273,635,781,200,647,glide
270,635,781,200,650,glide
267,635,781,200,653,glide
264,635,781,200,656,glide
261,635,781,200,659,glide
258,635,781,200,662,glide
255,635,781,200,665,glide
252,635,781,200,668,glide
249,635,781,200,671,flap
246,635,781,200,668,flap
243,635,781,200,665,flap
240,635,781,200,662,flap
237,635,781,200,659,glide
234,635,781,200,662,glide
231,635,781,200,665,glide
228,635,781,200,668,glide
225,635,781,200,671,glide
222,635,781,200,674,glide
219,635,781,200,677,glide
216,635,781,200,680,flap
213,635,781,200,677,flap
210,635,781,200,674,flap
207,635,781,200,671,flap
204,635,781,200,668,flap
201,635,781,200,665,glide
798,86,608,200,668,glide
795,86,608,200,671,glide
792,86,608,200,674,glide
789,86,608,200,677,flap
786,86,608,200,674,flap
783,86,608,200,671,flap
780,86,608,200,668,glide
777,86,608,200,671,glide
774,86,608,200,674,glide
771,86,608,200,677,flap
768,86,608,200,674,flap
765,86,608,200,671,flap
762,86,608,200,668,flap
759,86,608,200,665,flap
756,86,608,200,662,glide
753,86,608,200,665,glide
750,86,608,200,668,flap
747,86,608,200,665,flap
744,86,608,200,662,flap
741,86,608,200,659,flap
738,86,608,200,656,flap
735,86,608,200,653,flap
732,86,608,200,650,flap
729,86,608,200,647,flap
726,86,608,200,644,flap
723,86,608,200,641,flap
720,86,608,200,638,flap
717,86,608,200,635,flap
714,86,608,200,632,flap
711,86,608,200,629,flap
708,86,608,200,626,flap
705,86,608,200,623,flap
702,86,608,200,620,flap
699,86,608,200,617,flap
696,86,608,200,614,flap
693,86,608,200,611,flap
690,86,608,200,608,flap
687,86,608,200,605,flap
684,86,608,200,602,flap
681,86,608,200,599,flap
678,86,608,200,596,flap
675,86,608,200,593,flap
672,86,608,200,590,flap
669,86,608,200,587,flap
666,86,608,200,584,flap
663,86,608,200,581,flap
660,86,608,200,578,flap
657,86,608,200,575,flap
654,86,608,200,572,flap
651,86,608,200,569,flap
648,86,608,200,566,flap
645,86,608,200,563,flap
642,86,608,200,560,flap
639,86,608,200,557,flap
636,86,608,200,554,flap
633,86,608,200,551,flap
630,86,608,200,548,flap
627,86,608,200,545,flap
624,86,608,200,542,flap
621,86,608,200,539,flap
618,86,608,200,536,flap
615,86,608,200,533,flap
612,86,608,200,530,flap
609,86,608,200,527,flap
606,86,608,200,524,flap
603,86,608,200,521,flap
600,86,608,200,518,flap
597,86,608,200,515,flap
594,86,608,200,512,flap
591,86,608,200,509,flap
588,86,608,200,506,flap
585,86,608,200,503,flap
582,86,608,200,500,flap
579,86,608,200,497,flap
576,86,608,200,494,flap
573,86,608,200,491,flap
570,86,608,200,488,flap
567,86,608,200,485,flap
564,86,608,200,482,flap
561,86,608,200,479,flap
558,86,608,200,476,flap
555,86,608,200,473,flap
552,86,608,200,470,flap
549,86,608,200,467,flap
546,86,608,200,464,flap
543,86,608,200,461,flap
540,86,608,200,458,flap
537,86,608,200,455,flap
534,86,608,200,452,flap
531,86,608,200,449,flap
528,86,608,200,446,flap
525,86,608,200,443,flap
522,86,608,200,440,flap
519,86,608,200,437,flap
516,86,608,200,434,glide
513,86,608,200,437,glide
510,86,608,200,440,glide
507,86,608,200,443,glide
504,86,608,200,446,glide
501,86,608,200,449,glide
498,86,608,200,452,glide
495,86,608,200,455,glide
492,86,608,200,458,glide
489,86,608,200,461,glide
486,86,608,200,464,glide
483,86,608,200,467,glide
480,86,608,200,470,glide
477,86,608,200,473,glide
474,86,608,200,476,glide
471,86,608,200,479,glide
468,86,608,200,482,glide
465,86,608,200,485,glide
462,86,608,200,488,glide
459,86,608,200,491,glide
456,86,608,200,494,glide
453,86,608,200,497,glide
450,86,608,200,500,flap
447,86,608,200,497,flap
444,86,608,200,494,flap
441,86,608,200,491,flap
438,86,608,200,488,flap
435,86,608,200,485,flap
432,86,608,200,482,flap
429,86,608,200,479,flap
426,86,608,200,476,flap
423,86,608,200,473,flap
420,86,608,200,470,flap
417,86,608,200,467,flap
414,86,608,200,464,flap
411,86,608,200,461,flap
408,86,608,200,458,flap
405,86,608,200,455,flap
402,86,608,200,452,flap
399,86,608,200,449,flap
396,86,608,200,446,flap
393,86,608,200,443,flap
390,86,608,200,440,flap
387,86,608,200,437,glide
384,86,608,200,440,glide
381,86,608,200,443,glide
378,86,608,200,446,glide
375,86,608,200,449,glide
372,86,608,200,452,glide
369,86,608,200,455,glide
366,86,608,200,458,glide
363,86,608,200,461,glide
360,86,608,200,464,glide
357,86,608,200,467,glide
354,86,608,200,470,glide
351,86,608,200,473,glide
348,86,608,200,476,flap
345,86,608,200,473,flap
342,86,608,200,470,flap
339,86,608,200,467,flap
336,86,608,200,464,flap
333,86,608,200,461,flap
330,86,608,200,458,flap
327,86,608,200,455,flap
324,86,608,200,452,flap
321,86,608,200,449,flap
318,86,608,200,446,flap
315,86,608,200,443,flap
312,86,608,200,440,flap
309,86,608,200,437,flap
306,86,608,200,434,flap
303,86,608,200,431,flap
300,86,608,200,428,flap
297,86,608,200,425,flap
294,86,608,200,422,flap
291,86,608,200,419,flap
288,86,608,200,416,flap
285,86,608,200,413,flap
282,86,608,200,410,flap
279,86,608,200,407,glide
276,86,608,200,410,glide
273,86,608,200,413,glide
270,86,608,200,416,glide
267,86,608,200,419,glide
264,86,608,200,422,glide
261,86,608,200,425,glide
258,86,608,200,428,glide
255,86,608,200,431,glide
252,86,608,200,434,glide
249,86,608,200,437,glide
246,86,608,200,440,flap
243,86,608,200,437,flap
240,86,608,200,434,flap
237,86,608,200,431,flap
234,86,608,200,428,flap
231,86,608,200,425,flap
228,86,608,200,422,flap
225,86,608,200,419,flap
222,86,608,200,416,flap
219,86,608,200,413,flap
216,86,608,200,410,flap
213,86,608,200,407,flap
210,86,608,200,404,flap
207,86,608,200,401,flap
204,86,608,200,398,flap
201,86,608,200,395,flap
798,264,495,200,392,flap
795,264,495,200,389,flap
792,264,495,200,386,flap
789,264,495,200,383,flap
786,264,495,200,380,flap
783,264,495,200,377,flap
